Clientes que entraram em 2019 vão ganhar 3 meses de mensalidade grátis: 

Shoshana Trevino
Wilma Velasquez
Nasim Riggs
Judah Medina
Garrison Harper
Grady Lloyd
Levi Mccarty
Jermaine Gaines
Warren Noble
Rachel Brady
Melissa Marsh
Jason Woodward
Cailin Mercado
Clayton Woodard
Nina Whitaker
Kessie Spears
Ali Carlson
Nero Stark
Alden Roth
Reuben Kirby
Jorden Fox
Len Hodges
Martha Clayton
Maggy Dunlap
Graiden Wilder
Hop Winters
Irene Nixon
Nash Young
Illiana Branch
Camden Finley
Yardley Valencia
Angelica Norris
Lewis Barr
Chelsea Cantu
Eliana Lyons
Wilma Bond
Bethany Burton
Lael Ashley
Lois Maddox
Veda Mcclure
